SolomonGeorgio_Audio.json,0,my,0.05,0.17,0.12,0
SolomonGeorgio_Audio.json,0,name,0.17,0.41,0.24,0
SolomonGeorgio_Audio.json,0,is,0.41,0.53,0.12,0
SolomonGeorgio_Audio.json,0,Solomon,0.53,0.93,0.4,0
SolomonGeorgio_Audio.json,0,Giorgio,0.93,1.52,0.59,0
SolomonGeorgio_Audio.json,0,that,1.55,1.72,0.17,1
SolomonGeorgio_Audio.json,0,is,1.72,1.84,0.12,0
SolomonGeorgio_Audio.json,0,my,1.84,2.01,0.17,0
SolomonGeorgio_Audio.json,0,real,2.01,2.28,0.27,0
SolomonGeorgio_Audio.json,0,name,2.28,2.73,0.45,1
SolomonGeorgio_Audio.json,0,it's,2.77,2.99,0.22,1
SolomonGeorgio_Audio.json,0,a,2.99,3.03,0.04,0
SolomonGeorgio_Audio.json,0,very,3.03,3.38,0.35,1
SolomonGeorgio_Audio.json,0,beautiful,3.38,3.72,0.34,0
SolomonGeorgio_Audio.json,0,name,3.72,4.07,0.35,1
SolomonGeorgio_Audio.json,0,for,4.07,4.3,0.23,1
SolomonGeorgio_Audio.json,0,a,4.3,4.36,0.06,0
SolomonGeorgio_Audio.json,0,very,4.36,4.67,0.31,1
SolomonGeorgio_Audio.json,0,beautiful,4.67,5.06,0.39,0
SolomonGeorgio_Audio.json,0,man,5.06,5.47,0.41,0
SolomonGeorgio_Audio.json,2,my,7.58,7.74,0.16,0
SolomonGeorgio_Audio.json,2,last,7.74,8.02,0.28,0
SolomonGeorgio_Audio.json,2,name,8.02,8.23,0.21,0
SolomonGeorgio_Audio.json,2,Giorgio,8.23,8.77,0.54,0
SolomonGeorgio_Audio.json,2,is,8.8,9.03,0.23,1
SolomonGeorgio_Audio.json,2,Italian,9.03,9.59,0.56,1
SolomonGeorgio_Audio.json,3,I,10.17,10.41,0.24,1
SolomonGeorgio_Audio.json,3,am,10.41,10.53,0.12,0
SolomonGeorgio_Audio.json,3,Ethiopian,10.53,11.3,0.77,1
SolomonGeorgio_Audio.json,4,some,13.86,14.08,0.22,0
SolomonGeorgio_Audio.json,4,people,14.08,14.28,0.2,0
