DanSoder_Audio.json,0,you,0.03,0.11,0.08,0
DanSoder_Audio.json,0,guys,0.11,0.28,0.17,0
DanSoder_Audio.json,0,know,0.28,0.38,0.1,0
DanSoder_Audio.json,0,about,0.38,0.63,0.25,0
DanSoder_Audio.json,0,me,0.63,0.86,0.23,1
DanSoder_Audio.json,0,I,0.86,1.13,0.27,1
DanSoder_Audio.json,0,am,1.13,1.29,0.16,0
DanSoder_Audio.json,0,twenty,1.29,1.57,0.28,0
DanSoder_Audio.json,0,nine,1.57,1.78,0.21,0
DanSoder_Audio.json,0,years,1.78,2.02,0.24,0
DanSoder_Audio.json,0,old,2.02,2.42,0.4,1
DanSoder_Audio.json,0,and,2.77,3.11,0.34,1
DanSoder_Audio.json,0,I,3.14,3.66,0.52,1
DanSoder_Audio.json,0,am,3.69,3.91,0.22,1
DanSoder_Audio.json,0,officially,3.91,4.71,0.8,0
DanSoder_Audio.json,0,a,5.09,5.19,0.1,1
DanSoder_Audio.json,0,part,5.19,5.81,0.62,0
DanSoder_Audio.json,1,%HESITATION,6.41,6.54,0.13,0
DanSoder_Audio.json,1,moon,6.54,6.93,0.39,0
DanSoder_Audio.json,1,worse,6.93,7.31,0.38,0
DanSoder_Audio.json,1,generation,7.31,7.98,0.67,0
DanSoder_Audio.json,1,of,7.98,8.08,0.1,0
DanSoder_Audio.json,1,all,8.08,8.29,0.21,1
DanSoder_Audio.json,1,Tara,8.29,8.85,0.56,0
DanSoder_Audio.json,1,we,10.68,10.88,0.2,1
DanSoder_Audio.json,1,did,10.88,11.15,0.27,0
DanSoder_Audio.json,1,it,11.15,11.27,0.12,0
DanSoder_Audio.json,2,seriously,11.99,12.66,0.67,0
DanSoder_Audio.json,2,if,13.06,13.13,0.07,0
DanSoder_Audio.json,2,you're,13.13,13.3,0.17,1
DanSoder_Audio.json,2,under,13.3,13.47,0.17,0
DanSoder_Audio.json,2,thirty,13.47,14.08,0.61,0
DanSoder_Audio.json,2,you,14.11,14.4,0.29,1
